GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Newsite,newsite.service,NewsService,150,174,0,4,30,34,6,9,6,7
Newsite,newsite.service,ModeratorService,4,257,2,6,2,54,2,10,0,8
Newsite,newsite.service,WriterService,19,167,3,7,5,38,3,10,0,8
Newsite,newsite.service,LoginService,20,21,5,1,6,6,4,2,1,2
Newsite,newsite.service,PhotoService,39,53,3,3,8,14,4,3,1,3
Newsite,newsite.service,CategoryService,17,166,2,8,4,39,2,11,0,8
Newsite,newsite.domain,Photo,233,26,40,0,5,3,29,7,9,7
Newsite,newsite.domain,Category,123,22,22,0,1,5,16,5,5,5
Newsite,newsite.domain,Moderator,124,18,22,0,3,5,18,4,7,4
Newsite,newsite.domain,News,340,100,58,6,1,13,38,16,7,15
Newsite,newsite.domain,View,130,15,22,0,1,4,18,3,7,3
Newsite,newsite.domain,Writer,109,36,22,0,0,6,15,6,4,6
Newsite,newsite.validors,NewsValidator,34,177,12,22,5,48,9,17,0,9
Newsite,newsite.validors,WriterValidator,17,34,5,5,5,10,5,2,0,2
Newsite,newsite.validors,CategoryValidator,13,35,4,6,4,10,4,3,0,2
Newsite,newsite.controller,ModeratorController,131,3,4,0,25,1,7,1,5,1
Newsite,newsite.controller,LoginController,57,3,2,0,15,1,4,1,3,1
Newsite,newsite.controller,CategoryController,115,3,4,0,23,1,6,1,4,1
Newsite,newsite.controller,PhotoController,5,3,0,0,1,1,1,1,1,1
Newsite,newsite.controller,WriterController,119,3,4,0,23,1,6,1,4,1
Newsite,newsite.controller,NewsController,29,3,0,0,8,1,4,1,4,1
Newsite,newsite,ProductionConfiguration,6,0,0,0,2,0,2,0,2,0
Newsite,newsite,NewsiteApplication,5,3,0,0,2,1,1,1,1,1
